PLAYER	POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
											
Michael Thomas	UT	NO	@NYG	-180	52.00	0.00	26.00	11.11	11000	26.2	2.4
Drew Brees	UT	NO	@NYG	-180	52.00	0.00	26.00	11.35	12000	25.7	2.1
Alvin Kamara	UT	NO	@NYG	-180	52.00	0.00	26.00	12.61	11600	25.3	2.2
Odell Beckham	UT	NYG	NO	150	52.00	0.00	26.00	8.02	10600	25.0	2.4
Tom Brady	UT	NE	MIA	-305	50.50	-6.50	28.50	21.25	13000	23.8	1.8
Patrick Mahomes	UT	KC	@DEN	-190	53.50	0.00	26.75	7.05	12800	23.7	1.9
Ben Roethlisberger	UT	PIT	BAL	-170	51.50	-3.00	27.25	12.19	11400	23.3	2.1
Todd Gurley	UT	LAR	MIN	-340	49.00	-7.00	28.00	12.60	11600	21.1	1.8
Andrew Luck	UT	IND	HOU	100	48.50	0.00	24.25	6.73	11400	20.6	1.8
Saquon Barkley	UT	NYG	NO	150	52.00	0.00	26.00	7.16	10200	20.4	2.0
Antonio Brown	UT	PIT	BAL	-170	51.50	-3.00	27.25	12.25	11800	20.0	1.7
James Conner	UT	PIT	BAL	-170	51.50	-3.00	27.25	11.28	10000	19.7	2.0
Kirk Cousins	UT	MIN	@LAR	270	49.00	7.00	21.00	14.83	9000	18.5	2.1
Eli Manning	UT	NYG	NO	150	52.00	0.00	26.00	6.37	9800	18.3	1.9
Case Keenum	UT	DEN	KC	160	53.50	0.00	26.75	10.04	9800	18.2	1.9
Jared Goff	UT	LAR	MIN	-340	49.00	-7.00	28.00	10.49	10800	18.0	1.7
Joe Flacco	UT	BAL	@PIT	145	51.50	3.00	24.25	11.79	10200	17.9	1.8
Adam Thielen	UT	MIN	@LAR	270	49.00	7.00	21.00	14.60	9800	17.6	1.8
JuJu Smith-Schuster	UT	PIT	BAL	-170	51.50	-3.00	27.25	9.68	9600	17.2	1.8
T.Y. Hilton	UT	IND	HOU	100	48.50	0.00	24.25	4.57	8800	17.0	1.9
Kareem Hunt	UT	KC	@DEN	-190	53.50	0.00	26.75	3.34	8400	16.6	2.0
Tyreek Hill	UT	KC	@DEN	-190	53.50	0.00	26.75	3.84	11200	16.4	1.5
Travis Kelce	UT	KC	@DEN	-190	53.50	0.00	26.75	3.47	9600	16.1	1.7
